Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
40,Richard Lagow*\richard-lagow-1,Indiana,Big Ten,13,253,438,57.8,3362,7.7,6.8,19,17,128.8,41,-188,-4.6,2
41,Dane Evans*\dane-evans-1,Tulsa,American,13,259,435,59.5,3348,7.7,7.9,32,12,142.9,47,-29,-0.6,4
42,Matt Linehan*\matt-linehan-1,Idaho,Sun Belt,13,257,415,61.9,3184,7.7,7.5,19,10,136.7,88,167,1.9,4
43,Wilton Speight*\wilton-speight-1,Michigan,Big Ten,12,204,331,61.6,2538,7.7,7.8,18,7,139.8,35,-60,-1.7,1
44,Stephen Johnson*\stephen-johnson-8,Kentucky,SEC,12,145,265,54.7,2037,7.7,7.6,13,6,130.9,97,327,3.4,3
45,Greg Ward Jr.*\greg-ward-jr-1,Houston,American,12,319,469,68.0,3557,7.6,7.3,22,13,141.7,197,518,2.6,10
46,Cooper Rush*\cooper-rush-1,Central Michigan,MAC,13,278,465,59.8,3540,7.6,7.1,23,16,133.2,68,-21,-0.3,1
47,Ryan Finley*\ryan-finley-1,North Carolina State,ACC,13,243,402,60.4,3059,7.6,7.6,18,8,135.2,74,94,1.3,1
48,Shane Buechele\shane-buechele-1,Texas,Big 12,12,236,391,60.4,2958,7.6,7.4,21,11,136.0,96,161,1.7,2
49,Eric Dungey\eric-dungey-1,Syracuse,ACC,9,230,355,64.8,2679,7.5,7.5,15,7,138.2,125,293,2.3,6
50,Philip Nelson\philip-nelson-1,East Carolina,American,10,237,349,67.9,2621,7.5,7.4,16,8,141.5,62,57,0.9,2
51,Manny Wilkins\manny-wilkins-1,Arizona State,Pac-12,10,197,311,63.3,2329,7.5,7.0,12,9,133.2,128,246,1.9,5
52,Tyler O'Connor\tyler-oconnor-1,Michigan State,Big Ten,11,154,262,58.8,1970,7.5,7.2,16,9,135.2,63,70,1.1,0
53,Dru Brown*\dru-brown-1,Hawaii,MWC,13,209,335,62.4,2488,7.4,7.6,19,7,139.3,88,306,3.5,4
54,Jason Driskel\jason-driskel-1,Florida Atlantic,CUSA,12,200,327,61.2,2415,7.4,6.4,9,11,125.6,80,242,3.0,4
55,Sefo Liufau*\sefo-liufau-1,Colorado,Pac-12,12,200,319,62.7,2366,7.4,7.3,11,6,132.6,165,494,3.0,8
56,Kenny Potter\kenny-potter-1,San Jose State,MWC,11,183,307,59.6,2273,7.4,7.0,16,10,132.5,136,322,2.4,7
57,Tommy Armstrong Jr*\tommy-armstrong-jr-1,Nebraska,Big Ten,11,151,294,51.4,2180,7.4,7.1,14,8,123.9,113,512,4.5,8
58,Perry Hills*\perry-hills-1,Maryland,Big Ten,11,122,197,61.9,1464,7.4,7.7,12,4,140.4,91,93,1.0,4
59,Brandon Dawkins\brandon-dawkins-2,Arizona,Pac-12,10,98,182,53.8,1348,7.4,6.8,8,6,124.0,131,944,7.2,10
60,Kenny Hill*\kenny-hill-1,Texas Christian,Big 12,13,269,440,61.1,3208,7.3,6.7,17,13,129.2,125,609,4.9,10
61,Jalen Hurts*\jalen-hurts-1,Alabama,SEC,15,240,382,62.8,2780,7.3,7.4,23,9,139.1,191,954,5.0,13
62,Andrew Ford\andrew-ford-1,Massachusetts,Ind,10,222,365,60.8,2665,7.3,7.0,26,14,138.0,45,-96,-2.1,2
63,Dalton Sturm*\dalton-sturm-1,UTSA,CUSA,13,169,299,56.5,2170,7.3,7.7,20,6,135.5,110,313,2.8,4
64,Brogan Roback*\brogan-roback-1,Eastern Michigan,MAC,10,219,372,58.9,2694,7.2,7.4,18,7,131.9,63,223,3.5,2
65,Conner Manning\conner-manning-1,Georgia State,Sun Belt,10,207,373,55.5,2684,7.2,6.5,16,13,123.1,27,-3,-0.1,2
66,Luke Falk*\luke-falk-1,Washington State,Pac-12,13,443,633,70.0,4468,7.1,7.5,38,11,145.6,66,-68,-1.0,0
67,Troy Williams*\troy-williams-2,Utah,Pac-12,13,207,390,53.1,2757,7.1,6.9,15,8,121.0,111,235,2.1,5
68,Mitch Leidner*\mitch-leidner-1,Minnesota,Big Ten,12,173,307,56.4,2169,7.1,5.8,8,12,116.5,111,366,3.3,10
69,Bryant Shirreffs\bryant-shirreffs-1,Connecticut,American,9,166,283,58.7,2010,7.1,6.6,7,6,122.2,144,326,2.3,2
70,Chase Litton\chase-litton-1,Marshall,CUSA,10,231,371,62.3,2612,7.0,7.2,24,9,137.9,34,-133,-3.9,1
71,Taylor Lamb*\taylor-lamb-1,Appalachian State,Sun Belt,13,197,325,60.6,2281,7.0,6.8,15,8,129.9,89,505,5.7,9
72,Davis Webb\davis-webb-1,California,Pac-12,12,382,620,61.6,4295,6.9,7.3,37,12,135.6,33,-110,-3.3,6
73,Brandon Silvers*\brandon-silvers-2,Troy,Sun Belt,13,293,460,63.7,3180,6.9,6.7,23,12,133.0,48,128,2.7,4
74,Ben Hicks\ben-hicks-1,SMU,American,12,234,422,55.5,2930,6.9,6.2,19,15,121.5,41,-83,-2.0,2
75,Ryan Metz\ryan-metz-1,UTEP,CUSA,10,130,201,64.7,1375,6.8,7.3,14,4,141.1,36,41,1.1,0
76,Clayton Thorson*\clayton-thorson-1,Northwestern,Big Ten,13,280,478,58.6,3182,6.7,6.7,22,9,125.9,97,98,1.0,5
77,J.T. Barrett*\jt-barrett-1,Ohio State,Big Ten,13,233,379,61.5,2555,6.7,7.2,24,7,135.3,205,845,4.1,9
78,Trevor Knight*\trevor-knight-1,Texas A&M,SEC,11,193,362,53.3,2432,6.7,6.9,19,7,123.2,102,614,6.0,10
79,Nick Fitzgerald*\nick-fitzgerald-2,Mississippi State,SEC,13,196,361,54.3,2423,6.7,6.6,21,10,124.3,195,1375,7.1,16
80,Anthony Jennings*\anthony-jennings-1,Louisiana,Sun Belt,13,193,323,59.8,2178,6.7,5.6,11,13,119.6,144,341,2.4,9
81,Daniel Jones\daniel-jones-4,Duke,ACC,12,270,430,62.8,2836,6.6,6.4,16,9,126.3,141,486,3.4,7
82,Jacob Eason*\jacob-eason-1,Georgia,SEC,13,204,370,55.1,2430,6.6,6.5,16,8,120.2,33,-45,-1.4,1
83,Kent Myers\kent-myers-1,Utah State,MWC,12,212,362,58.6,2394,6.6,6.2,10,8,118.8,116,449,3.9,6
84,Alex McGough\alex-mcgough-1,Florida International,CUSA,9,167,286,58.4,1891,6.6,5.8,13,11,121.2,45,117,2.6,4
85,Jesse Ertz*\jesse-ertz-1,Kansas State,Big 12,13,152,264,57.6,1755,6.6,6.6,9,4,121.6,183,1012,5.5,12
86,David Blough\david-blough-1,Purdue,Big Ten,12,295,517,57.1,3352,6.5,5.6,25,21,119.4,80,13,0.2,4
87,Tyler Stehling\tyler-stehling-1,Rice,CUSA,11,194,316,61.4,2049,6.5,6.2,12,7,124.0,101,309,3.1,4
88,Tyler Rogers\tyler-rogers-1,New Mexico State,Sun Belt,11,224,404,55.4,2603,6.4,5.9,16,12,116.7,124,333,2.7,4
89,Riley Neal\riley-neal-1,Ball State,MAC,11,242,394,61.4,2541,6.4,5.7,13,12,120.4,127,540,4.3,8
90,Kyle Shurmur*\kyle-shurmur-1,Vanderbilt,SEC,13,204,375,54.4,2409,6.4,5.7,9,10,110.9,50,-129,-2.6,0
91,Tyler Jones\tyler-jones-4,Texas State,Sun Belt,11,220,342,64.3,2184,6.4,5.2,11,14,120.4,115,-8,-0.1,5
92,James Morgan\james-morgan-1,Bowling Green State,MAC,11,183,326,56.1,2082,6.4,5.3,16,15,116.8,45,-72,-1.6,0
93,C.J. Beathard*\cj-beathard-1,Iowa,Big Ten,13,170,301,56.5,1929,6.4,6.0,17,10,122.3,83,-13,-0.2,2
94,Kurt Benkert\kurt-benkert-1,Virginia,ACC,11,228,406,56.2,2552,6.3,6.1,21,11,120.6,60,-94,-1.6,0
95,Chason Virgil\chason-virgil-1,Fresno State,MWC,10,166,322,51.6,2021,6.3,5.7,13,10,111.4,77,122,1.6,2
96,Patrick Towles*\patrick-towles-1,Boston College,ACC,13,138,273,50.5,1730,6.3,6.1,12,7,113.2,115,294,2.6,4
97,Taysom Hill*\taysom-hill-1,Brigham Young,Ind,12,222,372,59.7,2323,6.2,5.6,12,11,116.9,137,603,4.4,8
98,Hasaan Klugh\hasaan-klugh-1,Charlotte,CUSA,11,120,224,53.6,1356,6.1,6.3,10,3,116.5,89,426,4.8,8
99,Mason Fine*\mason-fine-1,North Texas,CUSA,10,155,261,59.4,1572,6.0,5.6,6,5,113.7,94,118,1.3,2
100,McKenzie Milton*\mckenzie-milton-1,UCF,American,10,194,336,57.7,1983,5.9,5.6,10,7,113.0,100,158,1.6,3
101,John Wolford*\john-wolford-1,Wake Forest,ACC,12,166,299,55.5,1774,5.9,5.0,9,10,108.6,130,521,4.0,6
102,Tyree Jackson\tyree-jackson-1,Buffalo,MAC,10,165,311,53.1,1772,5.7,5.0,9,9,104.7,99,399,4.0,5
103,Glen Cuiellette\glen-cuiellette-1,Tulane,American,12,101,237,42.6,1309,5.5,4.8,10,8,96.2,120,216,1.8,1
